species,soil
Astragalus_consobrinus,calcisols
Astragalus_serenoi,luvisols
Astragalus_linifolius,calcisols
Astragalus_coluteocarpus,cambisols
Hedysarum_boreale,cambisols
Astragalus_ellipsoideus,kastanozems
Astragalus_chinensis,luvisols
Astragalus_musiniensis,calcisols
Astragalus_tugarinovii,cambisols
Astragalus_bungeanus,cambisols
Astragalus_frigidus,cambisols
Astragalus_macrotropis,cambisols
Astragalus_siahderrensis,cambisols
Astragalus_lumsdenianus,calcisols
Astragalus_pamirensis,cambisols
Astragalus_longipetiolatus,luvisols
Astragalus_lindheimeri,kastanozems
Astragalus_persepolitanus,calcisols
Astragalus_pubentissimus,calcisols
Oxytropis_bicolor,cambisols
Astragalus_arnottianus,leptosols
Astragalus_platyphyllus,chernozems
Astragalus_hyalolepis,cambisols
Astragalus_kazbeki,cambisols
Astragalus_muliensis,luvisols
Oxytropis_scammaniana,cambisols
Oxytropis_poncinsii,cryosols
Astragalus_arequipensis,cambisols
Astragalus_webbianus,cambisols
Astragalus_siliceus,calcisols
Oxytropis_nutans,calcisols
Astragalus_coquimbensis,leptosols
Astragalus_raddei,regosols
Astragalus_albicaulis,chernozems
Astragalus_ammodendron,regosols
Astragalus_inopinatus,cryosols
Astragalus_australis,cambisols
Astragalus_mucronifolius,regosols
Astragalus_kifonsanicus,cambisols
Astragalus_amblytropis,kastanozems
Astragalus_megacarpus,calcisols
Astragalus_testiculatus,chernozems
Astragalus_jaliscensis,luvisols
Astragalus_hamosus,cambisols
Astragalus_vesiculosus,regosols
Astragalus_flavus,calcisols
Astragalus_propinquus,cambisols
Astragalus_columbianus,kastanozems
Astragalus_brazoensis,vertisols
Astragalus_amnis-amissi,chernozems
Astragalus_johannis,regosols
Astragalus_gentryi,leptosols
Astragalus_minthorniae,luvisols
Astragalus_weberbaueri,andosols
Astragalus_coltonii,calcisols
Astragalus_centralis,calcisols
Astragalus_glaux,cambisols
Astragalus_guttatus,cambisols
Astragalus_edulis,leptosols
Astracantha_karabaghensis,cambisols
