"guid","eventDate","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","scientificName","order","genus","specificEpithet","validName","match","source","x"
"1094541312","1975-01-01T00:00:00",NA,"31.64","35.23",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"2609094043","2020-04-17T08:26:00",NA,"31.73096","35.20891","9","Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094673107",NA,NA,"31.42","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094618652",NA,NA,"30.47","34.71",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094623412",NA,NA,"31.74","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094577254",NA,NA,"30.47","34.61",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094654438",NA,NA,"31.51","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094573575",NA,NA,"30.88","34.81",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094577058",NA,NA,"30.52","34.61",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094675310",NA,NA,"31.37","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094631616",NA,NA,"31.42","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094632084",NA,NA,"31.6","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094672856",NA,NA,"31.37","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094583595",NA,NA,"30.56","34.55",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094601161",NA,NA,"30.92","34.92",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094650707",NA,NA,"31.42","35.07",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094654802",NA,NA,"31.6","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094669068",NA,NA,"31.55","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094596664",NA,NA,"30.47","34.55",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094586369",NA,NA,"30.43","34.55",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094643121",NA,NA,"31.6","35.23",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094648306",NA,NA,"31.78","35.23",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094653003",NA,NA,"31.64","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094661077",NA,NA,"31.51","35.02",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094580125",NA,NA,"31.01","34.86",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094632019",NA,NA,"31.51","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094645394",NA,NA,"31.74","35.23",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094623958",NA,NA,"31.78","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094647574",NA,NA,"31.51","35.07",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094587465",NA,NA,"30.07","34.76",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094608056",NA,NA,"30.07","34.82",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094635993",NA,NA,"31.33","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094641310",NA,NA,"31.33","35.07",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094690389",NA,NA,"31.46","35.02",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094570311",NA,NA,"30.56","34.66",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094662670",NA,NA,"31.46","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094635609",NA,NA,"31.69","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094658118",NA,NA,"31.33","35.02",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094570784",NA,NA,"30.52","34.66",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094645844",NA,NA,"31.28","35.07",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094577342",NA,NA,"30.52","34.55",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094638579",NA,NA,"30.61","34.71",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094655192",NA,NA,"31.55","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094611227",NA,NA,"30.47","34.66",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094673121",NA,NA,"31.46","35.23",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"626091","1910-05-31T00:00:00","Baalbek","34.00694","36.20444",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094429290",NA,NA,"30.52","34.6",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094429350",NA,NA,"30.53","34.63",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
