Name,GenesAt50pct,ParalogWarnings
Astragalus_dipelta_P073_WB05,52,0
Astragalus_diphacus_P065_WF01,71,3
Astragalus_discolor_P013_WF06,54,0
Astragalus_distentus_P065_WC02,46,0
Astragalus_distortus_P028_WE12,47,0
Astragalus_diversifolius_P071_WH08,66,2
Astragalus_dodtii_P031_WG10,58,2
Astragalus_dolichocarpus_P072_WH09,38,0
Astragalus_dolichophyllus_P075_WD02,62,0
Astragalus_douglasii_P025_WH12,58,0
Astragalus_drabelliformis_P075_WF02,69,4
Astragalus_drummondii_P028_WF04,63,2
Astragalus_duchesnensis_P075_WE12,65,3
Astragalus_eastwoodiae_P075_WE11,72,5
Astragalus_echanensis_P075_WG07,75,0
Astragalus_echinatus_P011_WC01,51,0
Astragalus_echinops_P071_WA04,73,2
Astragalus_edmondstonei_P040_WB04,80,5
Astragalus_edulis_P075_WH09,78,2
Astragalus_egglestonii_P075_WE10,67,5
Astragalus_ellipsoideus_P073_WB03,54,0
Astragalus_emoryanus_P018_WG06,62,2
Astragalus_endopterus_P075_WE09,64,2
Astragalus_ensiformis_P075_WD05,71,4
Astragalus_epiglottis_P014_WD04,61,0
Astragalus_episcopus_P074_WD03,65,2
Astragalus_eremiticus_P029_WA06,63,4
Astragalus_eremophilus_P014_WD08,53,0
Astragalus_eriocarpus_P074_WB04,64,0
Astragalus_eriopodus_P071_WD12,69,0
Astragalus_ernestii_P013_WG01,53,0
Astragalus_ervoides_P018_WH05,62,3
Astragalus_erythrosemius_P010_WF09,72,0
Astragalus_eucosmus_P074_WD06,61,0
Astragalus_eurekensis_P072_WA11,71,2
Astragalus_eurylobus_P071_WG03,67,4
Astragalus_exscapus_P014_WD07,49,0
Astragalus_fabaceus_P071_WF06,69,1
Astragalus_falcatus_P071_WG05,64,0
Astragalus_falconeri_P009_WE04,64,0
Astragalus_farctissimus_P009_WG07,62,2
Astragalus_fastidius_P019_WC12,55,1
Astragalus_fedtschenkoanus_P009_WF03,44,0
Astragalus_feensis_P071_WG06,68,3
Astragalus_yunnanensis_P009_WD11,58,0
Astragalus_filicaulis_P072_WC05,54,0
Astragalus_filipes_P029_WA05,59,3
Astragalus_flavus_P029_WA04,60,3
Astragalus_flexilipes_P074_WH12,64,1
Astragalus_flexuosus_P072_WB08,64,4
Astragalus_floridulus_P013_WH11,56,0
Astragalus_floridulus_P073_WG05,57,0
Astragalus_follicularis_P073_WF07,61,0
Astragalus_forrestii_P009_WE07,63,0
Astragalus_fraxinifolius_P071_WF12,66,1
Astragalus_frickii_P075_WH04,66,0
Astragalus_frigidus_P071_WF04,59,0
Astragalus_froedinii_P075_WH12,70,3
Astragalus_fruticosus_P013_WC08,51,0
Astragalus_fucatus_P072_WH02,67,4
Astragalus_funereus_P072_WH03,49,0
Astragalus_galegiformis_P075_WH05,43,0
Astragalus_gambelianus_P072_WG06,59,1
Astragalus_garbancillo_P019_WC11,64,0
Astragalus_geminiflorus_P065_WG01,63,0
Astragalus_geniculatus_P076_WA01,69,0
Astragalus_gentryi_P026_WA09,67,2
Astragalus_georgii_P073_WH01,55,0
Astragalus_geyeri_P072_WG05,62,4
Astragalus_lineatus_P073_WG06,63,0
Astragalus_giganteus_P018_WG05,64,3
Astragalus_gilensis_P072_WG04,67,4
Astragalus_gilmanii_P073_WA01,67,6
Astragalus_glabrescens_P073_WA09,73,0
Astragalus_glaux_P014_WC05,29,0
Astragalus_globiceps_P071_WH02,68,1
Astragalus_glumaceus_P074_WH11,64,0
Astragalus_glycyphylloides_P072_WB04,62,0
Astragalus_glycyphyllos_P072_WB10,70,0
Astragalus_goktschaicus_P071_WF05,70,0
Astragalus_goldmanii_P026_WA05,69,2
Astragalus_gombo_P014_WB09,69,0
Astragalus_gracilis_P073_WF08,58,3
Astragalus_lineatus_P063_WF12,69,0
Astragalus_graveolens_P010_WG03,78,7
Astragalus_grayi_P072_WH06,70,4
Astragalus_griffithii_P068_WB05,64,0
Astragalus_gruinus_P026_WA07,52,0
Astragalus_guatemalensis_P026_WB05,66,3
Astragalus_guttatus_P073_WA07,51,0
Astragalus_gypsodes_P073_WA04,67,6
Astragalus_hajastanus_P071_WE10,70,0
Astragalus_hallii_P073_WA02,64,2
Astragalus_hamiltonii_P073_WA05,65,3
Astragalus_hamosus_P014_WC09,64,2
Astragalus_harbisonii_P026_WA08,68,1
Astragalus_harrisonii_P072_WE09,62,3
Astragalus_hartwegii_P025_WH11,64,0
